Assembly	num_contigs	total_length	identity
lossless_flye	1	2896414	99.4862%
lossless_rebaler	1	2894630	99.452155%
lossless_medaka	1	2899276	99.650765%
LFZip_maxerror_1_flye	1	2896326	99.51848%
LFZip_maxerror_1_rebaler	1	2894653	99.48533499999999%
LFZip_maxerror_1_medaka	1	2899345	99.66662%
SZ_maxerror_1_flye	1	2896364	99.47825499999999%
SZ_maxerror_1_rebaler	1	2894678	99.450665%
SZ_maxerror_1_medaka	1	2899196	99.643735%
LFZip_maxerror_2_flye	1	2896357	99.52353%
LFZip_maxerror_2_rebaler	1	2894671	99.47089%
LFZip_maxerror_2_medaka	1	2899392	99.659145%
SZ_maxerror_2_flye	1	2896274	99.47079500000001%
SZ_maxerror_2_rebaler	1	2894593	99.42335499999999%
SZ_maxerror_2_medaka	1	2899070	99.631295%
LFZip_maxerror_3_flye	1	2896142	99.492685%
LFZip_maxerror_3_rebaler	1	2894605	99.46352999999999%
LFZip_maxerror_3_medaka	1	2899249	99.64969500000001%
SZ_maxerror_3_flye	1	2896121	99.507845%
SZ_maxerror_3_rebaler	1	2894433	99.466965%
SZ_maxerror_3_medaka	1	2899119	99.649655%
LFZip_maxerror_4_flye	1	2896161	99.450635%
LFZip_maxerror_4_rebaler	1	2894248	99.42062%
LFZip_maxerror_4_medaka	1	2898980	99.616375%
SZ_maxerror_4_flye	1	2895960	99.50437500000001%
SZ_maxerror_4_rebaler	1	2894423	99.443495%
SZ_maxerror_4_medaka	1	2899199	99.648725%
LFZip_maxerror_5_flye	1	2895756	99.48364000000001%
LFZip_maxerror_5_rebaler	1	2894217	99.42599999999999%
LFZip_maxerror_5_medaka	1	2898953	99.63021499999999%
SZ_maxerror_5_flye	1	2895632	99.42761999999999%
SZ_maxerror_5_rebaler	1	2893919	99.387685%
SZ_maxerror_5_medaka	1	2898707	99.59502%
LFZip_maxerror_6_flye	1	2895483	99.46332%
LFZip_maxerror_6_rebaler	1	2893788	99.395685%
LFZip_maxerror_6_medaka	1	2898493	99.60728499999999%
SZ_maxerror_6_flye	1	2895459	99.45714000000001%
SZ_maxerror_6_rebaler	1	2893543	99.39251999999999%
SZ_maxerror_6_medaka	1	2898518	99.61000999999999%
LFZip_maxerror_7_flye	1	2895089	99.42235%
LFZip_maxerror_7_rebaler	1	2893547	99.383995%
LFZip_maxerror_7_medaka	1	2898226	99.60098500000001%
SZ_maxerror_7_flye	1	2895202	99.417015%
SZ_maxerror_7_rebaler	1	2893245	99.36909%
SZ_maxerror_7_medaka	1	2898208	99.59102%
LFZip_maxerror_8_flye	1	2894797	99.38836%
LFZip_maxerror_8_rebaler	1	2892892	99.318995%
LFZip_maxerror_8_medaka	1	2897846	99.56456%
SZ_maxerror_8_flye	1	2894788	99.37222%
SZ_maxerror_8_rebaler	1	2892835	99.32493500000001%
SZ_maxerror_8_medaka	1	2897886	99.56267%
LFZip_maxerror_9_flye	1	2894236	99.27373%
LFZip_maxerror_9_rebaler	1	2892179	99.23199%
LFZip_maxerror_9_medaka	1	2897421	99.48660000000001%
SZ_maxerror_9_flye	1	2894266	99.2786%
SZ_maxerror_9_rebaler	1	2892145	99.207%
SZ_maxerror_9_medaka	1	2897230	99.46789000000001%
LFZip_maxerror_10_flye	1	2893457	99.24991%
LFZip_maxerror_10_rebaler	1	2891263	99.15573%
LFZip_maxerror_10_medaka	1	2896777	99.44679%
SZ_maxerror_10_flye	1	2892745	99.143365%
SZ_maxerror_10_rebaler	1	2890623	99.05284%
SZ_maxerror_10_medaka	1	2895910	99.34898000000001%
