Assembly	num_contigs	total_length	identity
lossless_flye	1	2898637	99.85968%
lossless_rebaler	1	2899345	99.86811%
lossless_medaka	1	2902007	99.95301%
LFZip_maxerror_1_flye	1	2898736	99.862655%
LFZip_maxerror_1_rebaler	1	2899367	99.86610999999999%
LFZip_maxerror_1_medaka	1	2902014	99.95201%
SZ_maxerror_1_flye	1	2898650	99.860645%
SZ_maxerror_1_rebaler	1	2899328	99.86515%
SZ_maxerror_1_medaka	1	2902027	99.95301%
LFZip_maxerror_2_flye	1	2898610	99.860175%
LFZip_maxerror_2_rebaler	1	2899325	99.86416%
LFZip_maxerror_2_medaka	1	2901996	99.95201%
SZ_maxerror_2_flye	1	2898605	99.86017000000001%
SZ_maxerror_2_rebaler	1	2899346	99.86665500000001%
SZ_maxerror_2_medaka	1	2901973	99.95101%
LFZip_maxerror_3_flye	1	2898622	99.85718%
LFZip_maxerror_3_rebaler	1	2899379	99.86765%
LFZip_maxerror_3_medaka	1	2902060	99.95001%
SZ_maxerror_3_flye	1	2898586	99.860675%
SZ_maxerror_3_rebaler	1	2899432	99.86814%
SZ_maxerror_3_medaka	1	2902029	99.95301%
LFZip_maxerror_4_flye	1	2898528	99.85168%
LFZip_maxerror_4_rebaler	1	2899271	99.861145%
LFZip_maxerror_4_medaka	1	2902054	99.94901%
SZ_maxerror_4_flye	1	2898563	99.86017000000001%
SZ_maxerror_4_rebaler	1	2899454	99.86561%
SZ_maxerror_4_medaka	1	2902031	99.94501%
LFZip_maxerror_5_flye	1	2898418	99.851195%
LFZip_maxerror_5_rebaler	1	2899357	99.851635%
LFZip_maxerror_5_medaka	1	2902023	99.94402%
SZ_maxerror_5_flye	1	2898443	99.85219000000001%
SZ_maxerror_5_rebaler	1	2899283	99.86016%
SZ_maxerror_5_medaka	1	2902044	99.94501%
LFZip_maxerror_6_flye	1	2898301	99.850195%
LFZip_maxerror_6_rebaler	1	2899188	99.85164%
LFZip_maxerror_6_medaka	1	2902050	99.94701%
SZ_maxerror_6_flye	1	2898429	99.84821500000001%
SZ_maxerror_6_rebaler	1	2899240	99.854665%
SZ_maxerror_6_medaka	1	2902064	99.94501%
LFZip_maxerror_7_flye	1	2898065	99.842235%
LFZip_maxerror_7_rebaler	1	2899214	99.85318000000001%
LFZip_maxerror_7_medaka	1	2902028	99.94202%
SZ_maxerror_7_flye	1	2898119	99.83973499999999%
SZ_maxerror_7_rebaler	1	2899269	99.84269%
SZ_maxerror_7_medaka	1	2902100	99.94001%
LFZip_maxerror_8_flye	1	2898002	99.831255%
LFZip_maxerror_8_rebaler	1	2899166	99.840215%
LFZip_maxerror_8_medaka	1	2902005	99.93801%
SZ_maxerror_8_flye	1	2897961	99.83571%
SZ_maxerror_8_rebaler	1	2899147	99.831725%
SZ_maxerror_8_medaka	1	2902078	99.93601%
LFZip_maxerror_9_flye	1	2897726	99.82477%
LFZip_maxerror_9_rebaler	1	2899035	99.823745%
LFZip_maxerror_9_medaka	1	2901987	99.93302%
SZ_maxerror_9_flye	1	2897732	99.82727%
SZ_maxerror_9_rebaler	1	2899207	99.837205%
SZ_maxerror_9_medaka	1	2902068	99.93102%
LFZip_maxerror_10_flye	1	2897466	99.811825%
LFZip_maxerror_10_rebaler	1	2898963	99.822245%
LFZip_maxerror_10_medaka	1	2902033	99.92803%
SZ_maxerror_10_flye	1	2897014	99.795365%
SZ_maxerror_10_rebaler	1	2898965	99.79481000000001%
SZ_maxerror_10_medaka	1	2902065	99.91204%
