File	Signal length	Compressed Size
5210_N128870_20170602_FN_MN20200_sequencing_run_sample_id_99953_ch166_read24226_strand.fast5	599843	244602
5210_N128870_20170602_FN_MN20200_sequencing_run_sample_id_99953_ch295_read46364_strand.fast5	574235	233114
5210_N128870_20170602_FN_MN20200_sequencing_run_sample_id_99953_ch129_read34886_strand.fast5	829144	325210
5210_N128870_20170602_FN_MN20200_sequencing_run_sample_id_99953_ch480_read24750_strand.fast5	239265	91614
5210_N128870_20170602_FN_MN20200_sequencing_run_sample_id_99953_ch388_read930_strand.fast5	450684	181394
5210_N128870_20170602_FN_MN20200_sequencing_run_sample_id_99953_ch256_read59348_strand.fast5	464251	170642
5210_N128870_20170602_FN_MN20200_sequencing_run_sample_id_99953_ch260_read19566_strand.fast5	656733	245472
5210_N128870_20170602_FN_MN20200_sequencing_run_sample_id_99953_ch122_read14345_strand.fast5	647823	246386
5210_N128870_20170602_FN_MN20200_sequencing_run_sample_id_99953_ch240_read2269_strand.fast5	480010	193284
5210_N128870_20170602_FN_MN20200_sequencing_run_sample_id_99953_ch152_read57007_strand.fast5	720019	271876
5210_N128870_20170602_FN_MN20200_sequencing_run_sample_id_99953_ch193_read41095_strand.fast5	244492	96094
5210_N128870_20170602_FN_MN20200_sequencing_run_sample_id_99953_ch275_read6870_strand.fast5	227611	89560
5210_N128870_20170602_FN_MN20200_sequencing_run_sample_id_99953_ch367_read8438_strand.fast5	500376	189802
5210_N128870_20170602_FN_MN20200_sequencing_run_sample_id_99953_ch72_read25873_strand.fast5	436376	184030
5210_N128870_20170602_FN_MN20200_sequencing_run_sample_id_99953_ch231_read20918_strand.fast5	621485	231520
5210_N128870_20170602_FN_MN20200_sequencing_run_sample_id_99953_ch116_read57370_strand.fast5	435033	167128
5210_N128870_20170602_FN_MN20200_sequencing_run_sample_id_99953_ch235_read27344_strand.fast5	315794	123050
5210_N128870_20170602_FN_MN20200_sequencing_run_sample_id_99953_ch22_read13600_strand.fast5	231030	96984
